iter	Logloss
0	0.6757065028
1	0.6610196495
2	0.6473385595
3	0.6367286818
4	0.6267366257
5	0.6184018543
6	0.6109863612
7	0.6046704947
8	0.5988349688
9	0.5940007211
10	0.5897737351
11	0.5862275787
12	0.5829934035
13	0.5797557063
14	0.5770578334
15	0.5745272395
16	0.5720631136
17	0.5701759582
18	0.5688211553
19	0.5673177256
20	0.5663266651
21	0.5650194353
22	0.5642124525
23	0.5630389101
24	0.5620869439
25	0.5610811919
26	0.5605156146
27	0.5597584517
28	0.5587269475
29	0.5577992329
30	0.557171851
31	0.556373188
32	0.5559857749
33	0.555347442
34	0.5549465613
35	0.5545732993
36	0.5542744749
37	0.5540099188
38	0.5538393967
39	0.5530671203
40	0.5525604867
41	0.5523014636
42	0.5519109899
43	0.5516255832
44	0.5513873919
45	0.5511074251
46	0.5506683548
47	0.5502981777
48	0.5497921712
49	0.5494415281
50	0.5490778915
51	0.5489070565
52	0.5487397145
53	0.5482944485
54	0.5480194081
55	0.5478513264
56	0.5475244876
57	0.5471798906
58	0.5468515678
59	0.5465894803
60	0.5463478003
61	0.5458794415
62	0.5455606529
63	0.5454602295
64	0.5451836349
65	0.5450586022
66	0.5449186897
67	0.5446479161
68	0.5444025434
69	0.5442855506
70	0.5441999048
71	0.5440595954
72	0.5438637859
73	0.5436002569
74	0.5433263556
75	0.5431065294
76	0.5430131511
77	0.5427763997
78	0.5426170283
79	0.5423950655
80	0.5421613475
81	0.5419031296
82	0.5417868719
83	0.5414989748
84	0.5414010081
85	0.5411074173
86	0.5409609359
87	0.5408946374
88	0.5407222677
89	0.5406081612
90	0.5405424543
91	0.5403412905
92	0.5402756889
93	0.540216644
94	0.5401273698
95	0.539916413
96	0.5395489988
97	0.5393482307
98	0.5392979204
99	0.5392748904
100	0.539186941
101	0.539068444
102	0.5389996962
103	0.5389485377
104	0.5387002081
105	0.5385528103
106	0.5383594052
107	0.5381727429
108	0.5381030812
109	0.5379532361
110	0.5378927889
111	0.5378148316
112	0.5376707343
113	0.5375951958
114	0.5374841738
115	0.5373681383
116	0.5372636014
117	0.5370670283
118	0.5368874889
119	0.5368265239
120	0.5367546521
121	0.5366890987
122	0.5364899361
123	0.5363711142
124	0.5361419848
125	0.536081793
126	0.5359069147
127	0.5356723118
128	0.535469503
129	0.5353585943
130	0.5351773059
131	0.5350519405
132	0.5350219362
133	0.5348727814
134	0.5346836822
135	0.5346107751
136	0.5344951711
137	0.5344382645
138	0.5343859522
139	0.5343038689
140	0.5340085197
141	0.533993756
142	0.5339602403
143	0.5338323767
144	0.5337717865
145	0.533687134
146	0.5335688636
147	0.53346658
148	0.5334291681
149	0.5332563314
150	0.5331893721
151	0.5330239409
152	0.5327968726
153	0.5327259585
154	0.5326995278
155	0.5326079871
156	0.5323786648
157	0.5322500303
158	0.5321186395
159	0.5318170376
160	0.5316763605
161	0.5316010871
162	0.5315248787
163	0.5313363704
164	0.5312524093
165	0.5311832023
166	0.5310026774
167	0.5309135034
168	0.5307971692
169	0.530722989
170	0.5306502611
171	0.5305361461
172	0.5304747146
173	0.5303812314
174	0.5303309109
175	0.5302165825
176	0.5300143285
177	0.5299118062
178	0.5297777504
179	0.5293927558
180	0.5293565278
181	0.5291162182
182	0.5289918193
183	0.5287559814
184	0.5286503701
185	0.5285531017
186	0.5283785835
187	0.5283295554
188	0.528295586
189	0.5282009767
190	0.527969154
191	0.527906222
192	0.527769949
193	0.5275624694
194	0.5274643986
195	0.5273265765
196	0.5271010049
197	0.5269123151
198	0.5268109356
199	0.5267232921
200	0.5266196345
201	0.5265670206
202	0.5264408274
203	0.5263315066
204	0.526165148
205	0.5259316668
206	0.5256825167
207	0.5255275668
208	0.5254360563
209	0.5252045384
210	0.5250807356
211	0.5249073641
212	0.5246927161
213	0.5244641731
214	0.5242776195
215	0.5242084506
216	0.5241225905
217	0.5239443006
218	0.5238079614
219	0.5236308408
220	0.5234056541
221	0.5231944693
222	0.523132762
223	0.5229970832
224	0.522845819
225	0.5227139852
226	0.5225630341
227	0.5224752489
228	0.52230383
229	0.5222526649
230	0.5221616806
231	0.522102951
232	0.5219939721
233	0.5218063199
234	0.5217245448
235	0.521656624
236	0.5214743339
237	0.5213104281
238	0.521238832
239	0.5211320245
240	0.5210736275
241	0.5208881648
242	0.5208397759
243	0.5207094806
244	0.5206485336
245	0.5205866609
246	0.5205267266
247	0.5204103405
248	0.5203496645
249	0.520224024
250	0.5200736091
251	0.5198981355
252	0.5198342201
253	0.519779909
254	0.5196599672
255	0.5195261111
256	0.5194176496
257	0.5192007894
258	0.5190580137
259	0.5189210583
260	0.518822654
261	0.5187257924
262	0.5186416743
263	0.5185936207
264	0.5184983651
265	0.5184335321
266	0.5183795664
267	0.5182439564
268	0.5181663275
269	0.5179377464
270	0.5177741864
271	0.5176136517
272	0.5174509977
273	0.5173548981
274	0.5172514231
275	0.5171659853
276	0.5170947701
277	0.5169506293
278	0.5168298011
279	0.5167539118
280	0.5166692066
281	0.5166077396
282	0.516412931
283	0.5163444518
284	0.5161951786
285	0.5161435051
286	0.5160687201
287	0.5159533517
288	0.5158407218
289	0.5157758738
290	0.5157175207
291	0.5155535494
292	0.5154479418
293	0.5153967721
294	0.5152593137
295	0.5151427585
296	0.5150145728
297	0.514870376
298	0.5147550419
299	0.514607044
300	0.5144794609
301	0.514431842
302	0.5143748879
303	0.5142303367
304	0.5141311687
305	0.5140128691
306	0.5138752211
307	0.5137434214
308	0.5136535046
309	0.5135678188
310	0.513486104
311	0.5134011078
312	0.5132736806
313	0.513218146
314	0.5131492414
315	0.513017794
316	0.5129291416
317	0.5128736573
318	0.5127361912
319	0.5126454133
320	0.5125957636
321	0.5125178694
322	0.5122772054
323	0.5122267664
324	0.5121169799
325	0.5120248137
326	0.5119070536
327	0.511820031
328	0.5117595653
329	0.5117135557
330	0.5115968649
331	0.5113702058
332	0.5113298119
333	0.5111404852
334	0.511020831
335	0.5109070134
336	0.5108770928
337	0.5107995763
338	0.5105599621
339	0.5105058023
340	0.5104288499
341	0.5103677524
342	0.5103354066
343	0.5102896397
344	0.5101745871
345	0.5100990467
346	0.5100043294
347	0.509980096
348	0.5098703427
349	0.5098176243
350	0.509745649
351	0.5096728208
352	0.5095808236
353	0.5095305004
354	0.5094455359
355	0.5093583559
356	0.5092820001
357	0.5092670623
358	0.5091495996
359	0.5091125063
360	0.5090215329
361	0.5089098733
362	0.5088066972
363	0.5087614645
364	0.5086849717
365	0.5086278734
366	0.5085624133
367	0.5085128553
368	0.5084719793
369	0.5083926932
370	0.5083529718
371	0.5082973975
372	0.5081429198
373	0.5079790892
374	0.5079100592
375	0.5078626668
376	0.5077610507
377	0.5076758668
378	0.507573153
379	0.5074930968
380	0.5073613627
381	0.5072637447
382	0.5072172989
383	0.507142427
384	0.5069217117
385	0.506848643
386	0.5068181293
387	0.506700447
388	0.5065837253
389	0.5065235891
390	0.5064583533
391	0.5063958354
392	0.5062609517
393	0.506183778
394	0.5061083559
395	0.5060471743
396	0.5060185599
397	0.5059379698
398	0.5057715928
399	0.5056872786
400	0.5056212827
401	0.5055778308
402	0.5055206068
403	0.5054397388
404	0.5053557701
405	0.5053037561
406	0.5052640344
407	0.5052282174
408	0.5050841106
409	0.5050359079
410	0.504920747
411	0.5048823609
412	0.5047535436
413	0.504626304
414	0.504585194
415	0.5045133598
416	0.5044655644
417	0.5044037741
418	0.5043446958
419	0.5043300978
420	0.5041823342
421	0.5040936621
422	0.5039505676
423	0.5038723343
424	0.5037946241
425	0.5036835056
426	0.5036246531
427	0.5035567331
428	0.5035109493
429	0.5034240685
430	0.5032985729
431	0.5032122469
432	0.5031565819
433	0.5031205991
434	0.5030070379
435	0.5029564575
436	0.5028839857
437	0.502787007
438	0.5027177328
439	0.5026868977
440	0.5026068747
441	0.5025576568
442	0.502434477
443	0.5023504666
444	0.5022593391
445	0.5021858659
446	0.5020945881
447	0.502038258
448	0.501947811
449	0.501896606
450	0.5018219588
451	0.5016966178
452	0.501664726
453	0.5015899094
454	0.5015183586
455	0.5014465283
456	0.5013836177
457	0.5013350356
458	0.5012700511
459	0.5012343093
460	0.5011660608
461	0.5010556177
462	0.5009914428
463	0.5009074312
464	0.500827295
465	0.5007519228
466	0.5007062831
467	0.5005585529
468	0.5005274371
469	0.500491623
470	0.5003955405
471	0.5003342394
472	0.5002981664
473	0.5001958027
474	0.5000774266
475	0.5000200714
476	0.4999597732
477	0.4999311473
478	0.499881732
479	0.4997967256
480	0.4997210422
481	0.4996764507
482	0.4996202043
483	0.4995448788
484	0.4994634322
485	0.4994296221
486	0.4993813971
487	0.4992476928
488	0.4992076465
489	0.4991030886
490	0.4990235654
491	0.4989841117
492	0.4988917053
493	0.4988293114
494	0.4987928688
495	0.4987313062
496	0.4986732588
497	0.4986088977
498	0.4985262011
499	0.4984423442
500	0.4983661657
501	0.4983020582
502	0.4981913971
503	0.4981000139
504	0.4980716256
505	0.4980325724
506	0.4979083923
507	0.4978315093
508	0.4977086248
509	0.497648978
510	0.4975952345
511	0.4975177966
512	0.4974473421
513	0.4973889402
514	0.4973883403
515	0.4972488713
516	0.4971991804
517	0.4971349501
518	0.4970178108
