iter	Passed	Remaining
0	3	3588
1	6	3172
2	9	3085
3	20	5163
4	28	5752
5	33	5547
6	42	6021
7	46	5811
8	50	5522
9	53	5288
10	56	5097
11	60	5003
12	63	4857
13	67	4732
14	70	4606
15	72	4487
16	76	4395
17	79	4321
18	82	4239
19	84	4163
20	87	4089
21	90	4033
22	93	3978
23	96	3924
24	99	3880
25	102	3833
26	105	3789
27	108	3749
28	110	3713
29	113	3684
30	116	3656
31	120	3630
32	122	3602
33	125	3578
34	128	3550
35	131	3525
36	134	3501
37	137	3481
38	140	3462
39	143	3440
40	146	3420
41	149	3401
42	152	3384
43	154	3362
44	157	3345
45	160	3330
46	163	3318
47	166	3303
48	169	3287
49	172	3273
50	175	3259
51	178	3246
52	180	3233
53	183	3220
54	186	3206
55	189	3194
56	193	3199
57	196	3194
58	200	3191
59	203	3191
60	206	3181
61	209	3170
62	213	3170
63	216	3164
64	219	3154
65	222	3149
66	225	3138
67	228	3131
68	231	3126
69	234	3118
70	237	3107
71	240	3097
72	243	3087
73	246	3078
74	249	3072
75	252	3067
76	255	3057
77	257	3047
78	260	3038
79	263	3031
80	266	3024
81	269	3017
82	272	3012
83	275	3004
84	278	2998
85	281	2991
86	284	2982
87	287	2975
88	290	2968
89	292	2961
90	295	2953
91	298	2947
92	301	2941
93	304	2934
94	307	2929
95	310	2924
96	313	2918
97	316	2912
98	319	2905
99	322	2898
100	324	2890
101	327	2884
102	330	2877
103	333	2870
104	336	2866
105	339	2866
106	342	2858
107	345	2853
108	348	2848
109	351	2842
110	354	2837
111	357	2833
112	360	2828
113	363	2822
114	365	2816
115	368	2810
116	371	2805
117	374	2801
118	377	2795
119	380	2789
120	383	2784
121	386	2779
122	389	2774
123	391	2768
124	394	2763
125	397	2758
126	400	2755
127	403	2749
128	406	2745
129	409	2741
130	412	2733
131	415	2732
132	418	2727
133	421	2722
134	424	2717
135	427	2714
136	430	2711
137	433	2706
138	436	2701
139	439	2697
140	442	2694
141	445	2691
142	448	2686
143	450	2680
144	453	2674
145	456	2672
146	460	2669
147	462	2664
148	465	2660
149	468	2656
150	471	2651
151	474	2648
152	477	2644
153	481	2642
154	484	2640
155	487	2637
156	490	2633
157	493	2629
158	496	2624
159	499	2621
160	502	2617
161	505	2614
162	508	2609
163	511	2605
164	514	2602
165	517	2597
166	519	2592
167	522	2588
168	525	2585
169	528	2581
170	531	2577
171	534	2574
172	537	2569
173	540	2564
174	543	2560
175	546	2556
176	549	2553
177	552	2550
178	555	2547
179	558	2544
180	561	2540
181	564	2535
182	566	2531
183	569	2527
184	572	2523
185	575	2519
186	578	2515
187	581	2511
188	584	2507
189	587	2503
190	590	2500
191	593	2496
192	596	2493
193	599	2488
194	602	2485
195	605	2481
196	607	2477
197	610	2474
198	613	2470
199	616	2467
200	619	2463
201	622	2459
202	625	2456
203	628	2454
204	631	2450
205	635	2448
206	638	2445
207	641	2443
208	644	2439
209	647	2435
210	650	2432
211	653	2429
212	656	2425
213	659	2421
214	662	2417
215	665	2414
216	668	2411
217	671	2408
218	674	2405
219	677	2401
220	680	2398
221	683	2395
222	686	2391
223	689	2387
224	692	2384
225	695	2380
226	698	2377
227	700	2373
228	703	2369
229	706	2366
230	709	2362
231	712	2358
232	715	2354
233	717	2350
234	720	2347
235	723	2343
236	726	2340
237	729	2337
238	732	2333
239	735	2329
240	738	2326
241	742	2324
242	744	2320
243	747	2317
244	750	2313
245	753	2309
246	756	2306
247	759	2302
248	762	2298
249	765	2295
250	768	2291
251	770	2288
252	774	2285
253	776	2281
254	780	2279
255	783	2275
256	786	2272
257	788	2268
258	791	2265
259	794	2262
260	797	2259
261	801	2257
262	804	2255
263	808	2252
264	810	2249
265	813	2245
266	817	2243
267	819	2239
268	822	2236
269	826	2233
270	828	2229
271	831	2226
272	834	2223
273	838	2221
274	841	2218
275	844	2214
276	847	2211
277	850	2208
278	853	2205
279	856	2201
280	858	2197
281	861	2194
282	864	2191
283	867	2187
284	870	2184
285	873	2180
286	876	2177
287	879	2173
288	881	2169
289	884	2165
290	887	2162
291	890	2159
292	893	2155
293	896	2152
294	899	2148
295	902	2145
296	905	2142
297	908	2140
298	911	2137
299	914	2134
300	917	2131
301	920	2128
302	923	2125
303	926	2121
304	929	2118
305	932	2115
306	935	2112
307	938	2109
308	941	2106
309	944	2102
310	948	2100
311	950	2096
312	953	2093
313	956	2090
314	959	2087
315	962	2083
316	965	2081
317	968	2077
318	971	2074
319	974	2071
320	977	2067
321	980	2064
322	983	2061
323	986	2058
324	989	2055
325	992	2051
326	995	2048
327	998	2045
328	1001	2042
329	1004	2039
330	1007	2036
331	1010	2032
332	1013	2029
333	1016	2027
334	1019	2024
335	1022	2021
336	1025	2018
337	1028	2015
338	1032	2012
339	1035	2009
340	1038	2006
341	1040	2002
342	1043	1999
343	1046	1996
344	1049	1993
345	1052	1990
346	1055	1986
347	1058	1983
348	1062	1981
349	1065	1978
350	1068	1975
351	1071	1972
352	1074	1969
353	1077	1966
354	1080	1962
355	1083	1959
356	1086	1956
357	1089	1953
358	1092	1950
359	1094	1946
360	1097	1943
361	1100	1939
362	1103	1936
363	1106	1933
364	1109	1930
365	1112	1927
366	1115	1923
367	1118	1920
368	1121	1916
369	1123	1913
370	1126	1910
371	1129	1906
372	1132	1904
373	1135	1900
374	1138	1897
375	1141	1894
376	1144	1891
377	1147	1887
378	1150	1885
379	1153	1881
380	1156	1878
381	1159	1875
382	1162	1872
383	1164	1868
384	1168	1866
385	1171	1863
386	1174	1860
387	1177	1857
388	1180	1854
389	1183	1851
390	1186	1848
391	1189	1844
392	1191	1840
393	1194	1836
394	1197	1833
395	1199	1830
396	1202	1827
397	1206	1824
398	1209	1821
399	1212	1819
400	1216	1816
401	1219	1813
402	1222	1810
403	1225	1808
